Time (ms),Rod Temperature,Green Cord Temperature,Average Temperature,Shade Openness,Motor Angle,Target Temperature,PID Error,PID Integral,PID Derivative,PID Output
2000.0,38.13,38.5,38.31,1.0,130.0,60.0,21.69,10.0,10.84,1.3
5095.0,38.13,38.0,38.06,1.0,130.0,60.0,21.94,10.0,0.08,1.13
7095.0,38.13,38.5,38.31,1.0,130.0,60.0,21.69,10.0,-0.12,1.12
9095.0,38.13,38.5,38.31,1.0,130.0,60.0,21.69,10.0,0.0,1.12
11095.0,38.13,38.75,38.44,1.0,130.0,60.0,21.56,10.0,-0.06,1.11
13095.0,38.13,38.75,38.44,1.0,130.0,60.0,21.56,10.0,0.0,1.11
15095.0,38.13,39.25,38.69,1.0,130.0,60.0,21.31,10.0,-0.12,1.1
17095.0,38.13,38.75,38.44,1.0,130.0,60.0,21.56,10.0,0.12,1.11
19095.0,38.13,39.0,38.56,1.0,130.0,60.0,21.44,10.0,-0.06,1.1
21095.0,38.13,39.0,38.56,1.0,130.0,60.0,21.44,10.0,0.0,1.11
23095.0,38.13,39.25,38.69,1.0,130.0,60.0,21.31,10.0,-0.06,1.1
25095.0,38.19,39.25,38.72,1.0,130.0,60.0,21.28,10.0,-0.02,1.1
27095.0,38.13,39.5,38.81,1.0,130.0,60.0,21.19,10.0,-0.05,1.09
29095.0,38.19,39.75,38.97,1.0,130.0,60.0,21.03,10.0,-0.08,1.08
31095.0,38.19,39.5,38.84,1.0,130.0,60.0,21.16,10.0,0.06,1.09
33095.0,38.25,39.75,39.0,1.0,130.0,60.0,21.0,10.0,-0.08,1.08
35095.0,38.31,39.75,39.03,1.0,130.0,60.0,20.97,10.0,-0.02,1.08
37095.0,38.31,40.0,39.16,1.0,130.0,60.0,20.84,10.0,-0.06,1.07
39095.0,38.38,40.0,39.19,1.0,130.0,60.0,20.81,10.0,-0.02,1.07
41095.0,38.44,40.25,39.34,1.0,130.0,60.0,20.66,10.0,-0.08,1.06
43095.0,38.44,40.25,39.34,1.0,130.0,60.0,20.66,10.0,0.0,1.07
45095.0,38.56,40.5,39.53,1.0,130.0,60.0,20.47,10.0,-0.09,1.06
47095.0,38.63,40.5,39.56,1.0,130.0,60.0,20.44,10.0,-0.02,1.05
49095.0,38.69,40.5,39.59,1.0,130.0,60.0,20.41,10.0,-0.02,1.05
51095.0,38.75,40.75,39.75,1.0,130.0,60.0,20.25,10.0,-0.08,1.04
53095.0,38.81,40.75,39.78,1.0,130.0,60.0,20.22,10.0,-0.02,1.04
55095.0,38.88,40.75,39.81,1.0,130.0,60.0,20.19,10.0,-0.02,1.04
57095.0,38.94,40.75,39.84,1.0,130.0,60.0,20.16,10.0,-0.02,1.04
59095.0,39.0,41.0,40.0,1.0,130.0,60.0,20.0,10.0,-0.08,1.03
61095.0,39.0,41.0,40.0,1.0,130.0,60.0,20.0,10.0,0.0,1.03
63095.0,39.06,41.0,40.03,1.0,130.0,60.0,19.97,10.0,-0.02,1.03
65095.0,39.19,41.25,40.22,1.0,130.0,60.0,19.78,10.0,-0.09,1.02
67095.0,39.19,41.5,40.34,1.0,130.0,60.0,19.66,10.0,-0.06,1.02
69095.0,39.31,41.25,40.28,1.0,130.0,60.0,19.72,10.0,0.03,1.02
71095.0,39.38,41.5,40.44,1.0,130.0,60.0,19.56,10.0,-0.08,1.01
73095.0,39.38,41.5,40.44,1.0,130.0,60.0,19.56,10.0,0.0,1.01
75095.0,39.5,41.5,40.5,1.0,130.0,60.0,19.5,10.0,-0.03,1.01
77095.0,39.56,41.75,40.66,1.0,130.0,60.0,19.34,10.0,-0.08,1.0
79095.0,39.63,41.75,40.69,1.0,130.0,60.0,19.31,10.0,-0.02,1.0
81095.0,39.69,41.75,40.72,1.0,130.0,60.0,19.28,10.0,-0.02,1.0
83095.0,39.75,42.0,40.88,1.0,130.0,60.0,19.12,10.0,-0.08,0.99
85095.0,39.81,42.0,40.91,1.0,130.0,60.0,19.09,10.0,-0.02,0.99
87095.0,39.88,42.0,40.94,1.0,130.0,60.0,19.06,10.0,-0.02,0.99
89095.0,39.94,42.0,40.97,1.0,130.0,60.0,19.03,10.0,-0.02,0.98
91095.0,40.0,42.0,41.0,1.0,130.0,60.0,19.0,10.0,-0.02,0.98
93095.0,40.06,42.0,41.03,1.0,130.0,60.0,18.97,10.0,-0.02,0.98
95095.0,40.13,42.25,41.19,1.0,130.0,60.0,18.81,10.0,-0.08,0.97
97095.0,40.19,42.0,41.09,1.0,130.0,60.0,18.91,10.0,0.05,0.98
99095.0,40.25,42.25,41.25,1.0,130.0,60.0,18.75,10.0,-0.08,0.97
101095.0,40.31,42.25,41.28,1.0,130.0,60.0,18.72,10.0,-0.02,0.97
103095.0,40.38,42.25,41.31,1.0,130.0,60.0,18.69,10.0,-0.02,0.97
105095.0,40.44,42.5,41.47,1.0,130.0,60.0,18.53,10.0,-0.08,0.96
107095.0,40.5,42.5,41.5,1.0,130.0,60.0,18.5,10.0,-0.02,0.96
109095.0,40.56,42.5,41.53,1.0,130.0,60.0,18.47,10.0,-0.02,0.96
111095.0,40.63,42.5,41.56,1.0,130.0,60.0,18.44,10.0,-0.02,0.95
113095.0,40.69,42.5,41.59,1.0,130.0,60.0,18.41,10.0,-0.02,0.95
115095.0,40.75,42.75,41.75,1.0,130.0,60.0,18.25,10.0,-0.08,0.94
117095.0,40.81,43.0,41.91,1.0,130.0,60.0,18.09,10.0,-0.08,0.94
119095.0,40.88,43.0,41.94,1.0,130.0,60.0,18.06,10.0,-0.02,0.94
121095.0,40.94,43.25,42.09,1.0,130.0,60.0,17.91,10.0,-0.08,0.93
123095.0,41.0,43.0,42.0,1.0,130.0,60.0,18.0,10.0,0.05,0.93
125095.0,41.06,43.25,42.16,1.0,130.0,60.0,17.84,10.0,-0.08,0.92
127095.0,41.13,43.25,42.19,1.0,130.0,60.0,17.81,10.0,-0.02,0.92
129095.0,41.19,43.25,42.22,1.0,130.0,60.0,17.78,10.0,-0.02,0.92
131095.0,41.25,43.25,42.25,1.0,130.0,60.0,17.75,10.0,-0.02,0.92
133095.0,41.31,43.5,42.41,1.0,130.0,60.0,17.59,10.0,-0.08,0.91
135095.0,41.38,43.5,42.44,1.0,130.0,60.0,17.56,10.0,-0.02,0.91
137095.0,41.44,43.75,42.59,1.0,130.0,60.0,17.41,10.0,-0.08,0.9
139095.0,41.5,43.75,42.63,1.0,130.0,60.0,17.37,10.0,-0.02,0.9
